,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
0,16977,23698,20337,41,0.0,0.0,0.0,1,Pelicans,41,971618,82,1994,0
1,16260,22052,19156,41,0.0,0.0,0.0,2,Spurs,41,904167,82,1994,0
2,16441,19865,18153,41,0.0,0.0,0.0,3,Jazz,41,814502,82,1994,0
3,16868,19763,18315,41,0.0,0.0,0.0,4,NY Knicks,41,810283,82,1994,0
4,15532,19674,17603,41,0.0,0.0,0.0,5,Pistons,41,806641,82,1994,0
5,17645,19023,18334,41,0.0,0.0,0.0,6,Suns,41,779943,82,1994,0
6,18121,18532,18327,41,0.0,0.0,0.0,7,Bulls,41,759816,82,1994,0
7,15687,18382,17035,41,0.0,0.0,0.0,8,Cavaliers,41,753686,82,1994,0
8,14849,17888,16368,41,0.0,0.0,0.0,9,Timberwolves,41,733419,82,1994,0
9,15254,17317,16285,41,0.0,0.0,0.0,10,Kings,41,709997,82,1994,0
10,15781,16432,16107,41,0.0,0.0,0.0,11,Nuggets,41,673738,82,1994,0
11,15500,16056,15778,41,0.0,0.0,0.0,12,Nets,41,658304,82,1994,0
12,15684,15466,15575,41,0.0,0.0,0.0,13,Bucks,41,634107,82,1994,0
13,18354,15291,16822,41,0.0,0.0,0.0,14,Magic,41,626931,82,1994,0
14,15437,15116,15276,41,0.0,0.0,0.0,15,Wizards,41,619756,82,1994,0
15,16082,15054,15568,41,0.0,0.0,0.0,16,Heat,41,617242,82,1994,0
16,16500,15025,15762,41,0.0,0.0,0.0,17,Warriors,41,616025,82,1994,0
17,16683,15005,15844,41,0.0,0.0,0.0,18,Rockets,41,615224,82,1994,0
18,16088,14752,15420,41,0.0,0.0,0.0,19,Celtics,41,604867,82,1994,0
19,16730,14682,15706,41,0.0,0.0,0.0,20,Thunder,41,601969,82,1994,0
20,16818,13335,15076,41,0.0,0.0,0.0,21,Hawks,41,546749,82,1994,0
21,16289,13315,14802,41,0.0,0.0,0.0,22,Lakers,41,545915,82,1994,0
22,15658,13263,14461,41,0.0,0.0,0.0,23,Pacers,41,543815,82,1994,0
23,15665,12888,14276,41,0.0,0.0,0.0,24,Trail Blazers,41,528408,82,1994,0
24,15571,12839,14205,41,0.0,0.0,0.0,25,Mavericks,41,526414,82,1994,0
25,16262,12425,14343,41,0.0,0.0,0.0,26,76ers,41,509444,82,1994,0
26,15885,11488,13686,41,0.0,0.0,0.0,27,Clippers,41,471034,82,1994,0
27,17148,23698,20423,41,0.0,0.0,0.0,1,Pelicans,41,971618,82,1995,0
28,17331,22592,19961,41,0.0,0.0,0.0,2,Bulls,41,926278,82,1995,0
29,16774,22449,19612,41,0.0,0.0,0.0,3,Spurs,41,920413,82,1995,0
30,15683,20337,18010,41,0.0,0.0,0.0,4,Cavaliers,41,833850,82,1995,0
31,16181,19784,17983,41,0.0,0.0,0.0,5,Jazz,41,811159,82,1995,0
32,17475,19763,18619,41,0.0,0.0,0.0,6,NY Knicks,41,810283,82,1995,0
33,17940,19023,18481,41,0.0,0.0,0.0,7,Suns,41,779943,82,1995,0
34,16400,17538,16969,41,0.0,0.0,0.0,8,Pistons,41,719090,82,1995,0
35,16038,17317,16677,41,0.0,0.0,0.0,9,Kings,41,709997,82,1995,0
36,16736,17171,16953,41,0.0,0.0,0.0,10,Nuggets,41,704011,82,1995,0
37,16118,17099,16609,41,0.0,0.0,0.0,11,Wizards,41,701084,82,1995,0
38,15903,16685,16294,41,0.0,0.0,0.0,12,Nets,41,684102,82,1995,0
39,16953,16547,16750,41,0.0,0.0,0.0,13,Mavericks,41,678433,82,1995,0
40,16803,16359,16581,41,0.0,0.0,0.0,14,Bucks,41,670720,82,1995,0
41,18679,16010,17344,41,0.0,0.0,0.0,15,Magic,41,656410,82,1995,0
42,16777,15976,16376,41,0.0,0.0,0.0,16,Pacers,41,655028,82,1995,0
43,17757,15936,16847,41,0.0,0.0,0.0,17,Rockets,41,653389,82,1995,0
44,16880,15457,16168,41,0.0,0.0,0.0,18,Thunder,41,633748,82,1995,0
45,16634,15025,15829,41,0.0,0.0,0.0,19,Warriors,41,616025,82,1995,0
46,17293,14801,16047,41,0.0,0.0,0.0,20,Celtics,41,606870,82,1995,0
47,15541,14719,15130,41,0.0,0.0,0.0,21,Timberwolves,41,603518,82,1995,0
48,16244,14603,15424,41,0.0,0.0,0.0,22,Heat,41,598761,82,1995,0
49,16701,14417,15559,41,0.0,0.0,0.0,23,Lakers,41,591125,82,1995,0
50,16156,12920,14538,41,0.0,0.0,0.0,24,Trail Blazers,41,529759,82,1995,0
51,16240,12385,14312,41,0.0,0.0,0.0,25,76ers,41,507809,82,1995,0
52,17305,12312,14808,41,0.0,0.0,0.0,26,Hawks,41,504807,82,1995,0
53,15918,10689,13303,41,0.0,0.0,0.0,27,Clippers,41,438254,82,1995,0
54,16830,24042,20436,41,0.0,0.0,0.0,1,Pelicans,41,985722,82,1996,0
55,19919,23637,21778,41,0.0,0.0,0.0,2,Bulls,41,969149,82,1996,0
56,16508,23178,19843,41,0.0,0.0,0.0,3,Raptors,41,950330,82,1996,0
57,16460,20739,18600,41,0.0,0.0,0.0,4,Trail Blazers,41,850338,82,1996,0
58,17170,19831,18500,41,0.0,0.0,0.0,5,Jazz,41,813073,82,1996,0
59,17065,19790,18428,41,0.0,0.0,0.0,6,Spurs,41,811422,82,1996,0
60,18329,19763,19046,41,0.0,0.0,0.0,7,NY Knicks,41,810283,82,1996,0
61,18160,19023,18591,41,0.0,0.0,0.0,8,Suns,41,779943,82,1996,0
62,17222,17874,17548,41,0.0,0.0,0.0,9,Celtics,41,732841,82,1996,0
63,17454,17818,17636,41,0.0,0.0,0.0,10,Pistons,41,730573,82,1996,0
64,16620,17807,17213,41,0.0,0.0,0.0,11,Cavaliers,41,730095,82,1996,0
65,16123,17317,16720,41,0.0,0.0,0.0,12,Kings,41,709997,82,1996,0
66,19326,17248,18287,41,0.0,0.0,0.0,13,Magic,41,707168,82,1996,0
67,16278,17182,16730,41,0.0,0.0,0.0,14,Grizzlies,41,704489,82,1996,0
68,17285,17007,17146,41,0.0,0.0,0.0,15,Thunder,41,697301,82,1996,0
69,17262,16789,17025,41,0.0,0.0,0.0,16,Wizards,41,688354,82,1996,0
70,17199,16686,16942,41,0.0,0.0,0.0,17,Mavericks,41,684138,82,1996,0
71,16524,16473,16498,41,0.0,0.0,0.0,18,Nuggets,41,675426,82,1996,0
72,17435,16438,16936,41,0.0,0.0,0.0,19,Pacers,41,673967,82,1996,0
73,17794,16285,17039,41,0.0,0.0,0.0,20,Rockets,41,667685,82,1996,0
74,18339,15844,17092,41,0.0,0.0,0.0,21,Lakers,41,649634,82,1996,0
75,16577,15782,16179,41,0.0,0.0,0.0,22,Bucks,41,647088,82,1996,0
76,16554,15564,16059,41,0.0,0.0,0.0,23,Nets,41,638144,82,1996,0
77,16761,15025,15893,41,0.0,0.0,0.0,24,Warriors,41,616025,82,1996,0
78,17400,14782,16091,41,0.0,0.0,0.0,25,Heat,41,606091,82,1996,0
79,16201,14284,15243,41,0.0,0.0,0.0,26,Timberwolves,41,585669,82,1996,0
80,17416,12113,14765,41,0.0,0.0,0.0,27,Hawks,41,496669,82,1996,0
81,17661,11934,14798,41,0.0,0.0,0.0,28,76ers,41,489327,82,1996,0
82,16492,10111,13301,41,0.0,0.0,0.0,29,Clippers,41,414560,82,1996,0
83,16616,24042,20329,41,0.0,0.0,0.0,1,Pelicans,41,985722,82,1997,0
84,20059,23864,21962,41,0.0,0.0,0.0,2,Bulls,41,978455,82,1997,0
85,15996,20799,18398,41,0.0,0.0,0.0,3,Trail Blazers,41,852799,82,1997,0
86,17280,20014,18647,41,0.0,0.0,0.0,4,Pistons,41,820585,82,1997,0
87,16888,19791,18339,41,0.0,0.0,0.0,5,Jazz,41,811439,82,1997,0
88,18434,19763,19098,41,0.0,0.0,0.0,6,NY Knicks,41,810283,82,1997,0
89,16503,19023,17763,41,0.0,0.0,0.0,7,Suns,41,779943,82,1997,0
90,16560,18266,17413,41,0.0,0.0,0.0,8,Raptors,41,748927,82,1997,0
91,18304,17721,18013,41,0.0,0.0,0.0,9,Magic,41,726597,82,1997,0
92,15860,17317,16588,41,0.0,0.0,0.0,10,Kings,41,709997,82,1997,0
93,16557,17235,16896,41,0.0,0.0,0.0,11,Spurs,41,706641,82,1997,0
94,16991,17088,17040,41,0.0,0.0,0.0,12,Wizards,41,700646,82,1997,0
95,17359,17072,17215,41,0.0,0.0,0.0,13,Thunder,41,699952,82,1997,0
96,16299,17017,16658,41,0.0,0.0,0.0,14,Timberwolves,41,697727,82,1997,0
97,19014,17003,18009,41,0.0,0.0,0.0,15,Lakers,41,697159,82,1997,0
98,16455,16894,16675,41,0.0,0.0,0.0,16,Cavaliers,41,692684,82,1997,0
99,15220,16571,15895,41,0.0,0.0,0.0,17,Grizzlies,41,679422,82,1997,0
100,17347,16356,16852,41,0.0,0.0,0.0,18,Nets,41,670628,82,1997,0
101,18413,16285,17349,41,0.0,0.0,0.0,19,Rockets,41,667685,82,1997,0
102,17064,16195,16629,41,0.0,0.0,0.0,20,Celtics,41,664022,82,1997,0
103,17330,15530,16430,41,0.0,0.0,0.0,21,Pacers,41,636735,82,1997,0
104,17321,15514,16417,41,0.0,0.0,0.0,22,Bucks,41,636083,82,1997,0
105,17624,15279,16452,41,0.0,0.0,0.0,23,76ers,41,626478,82,1997,0
106,16140,15166,15653,41,0.0,0.0,0.0,24,Warriors,41,621844,82,1997,0
107,15894,15101,15498,41,0.0,0.0,0.0,25,Mavericks,41,619178,82,1997,0
108,17564,15003,16284,41,0.0,0.0,0.0,26,Heat,41,615160,82,1997,0
109,17052,14287,15670,41,0.0,0.0,0.0,27,Hawks,41,585793,82,1997,0
110,16678,11253,13966,41,0.0,0.0,0.0,28,Nuggets,41,461408,82,1997,0
111,16397,9771,13084,41,0.0,0.0,0.0,29,Clippers,41,400637,82,1997,0
112,21969,23988,22978,41,0.0,0.0,0.0,1,Bulls,41,983517,82,1998,0
113,17008,23405,20207,41,0.0,0.0,0.0,2,Pelicans,41,959634,82,1998,0
114,16689,20576,18633,41,0.0,0.0,0.0,3,Trail Blazers,41,843647,82,1998,0
115,17851,19899,18875,41,0.0,0.0,0.0,4,Jazz,41,815889,82,1998,0
