,avg_away_attend,avg_home_attend,avg_overall_attend,home_games,pctcap_away_attend,pctcap_home_attend,pctcap_overall_attend,rank,team_name,total_away_attend,total_home_attend,total_overall_attend,year,est_cap_home
0,16016.0,19625.0,17820.0,42,0.0,0.0,0.0,1,Detroit,42,824261,84,1994,0
1,14681.0,19398.0,17040.0,42,0.0,0.0,0.0,2,Tampa Bay,42,814749,84,1994,0
2,15571.0,19214.0,17392.0,42,0.0,0.0,0.0,3,Calgary,42,806991,84,1994,0
3,16118.0,17761.0,16940.0,42,0.0,0.0,0.0,4,NY Rangers,42,745990,84,1994,0
4,16056.0,17683.0,16869.0,42,0.0,0.0,0.0,5,Chicago,42,742690,84,1994,0
5,0.0,0.0,0.0,727147,84.0,42.0,,6,42,15664,17313,16488,1994,"0      NaN
1      NaN
2      NaN
3      NaN
4      NaN
5      0.0
6      NaN
7      NaN
8      NaN
9      NaN
10     NaN
11     NaN
12     NaN
13     NaN
14     NaN
15     NaN
16     NaN
17     NaN
18     NaN
19     NaN
20     NaN
21     NaN
22     NaN
23     NaN
24     NaN
25     NaN
26     NaN
27     NaN
28     NaN
29     0.0
      ... 
635    0.0
636    0.0
637    0.0
638    0.0
639    0.0
640    0.0
641    0.0
642    0.0
643    0.0
644    0.0
645    0.0
646    0.0
647    0.0
648    0.0
649    0.0
650    0.0
651    0.0
652    0.0
653    0.0
654    0.0
655    0.0
656    0.0
657    0.0
658    0.0
659    0.0
660    0.0
661    0.0
662    0.0
663    0.0
664    0.0
Name: pctcap_home_attend, dtype: float64"
6,15963.0,17020.0,16492.0,42,0.0,0.0,0.0,7,Philadelphia,42,714857,84,1994,0
7,15341.0,16979.0,16160.0,42,0.0,0.0,0.0,8,Montreal,42,713122,84,1994,0
8,15898.0,16741.0,16319.0,42,0.0,0.0,0.0,9,Pittsburgh,42,703143,84,1994,0
9,16053.0,16728.0,16391.0,42,0.0,0.0,0.0,10,Anaheim,42,702616,84,1994,0
10,15333.0,16537.0,15935.0,42,0.0,0.0,0.0,11,San Jose,42,694588,84,1994,0
11,15590.0,16070.0,15830.0,42,0.0,0.0,0.0,12,Dallas,42,674967,84,1994,0
12,16387.0,15764.0,16076.0,42,0.0,0.0,0.0,13,Toronto,42,662127,84,1994,0
13,16732.0,15529.0,16130.0,42,0.0,0.0,0.0,14,Los Angeles,42,652231,84,1994,0
14,15730.0,15140.0,15435.0,42,0.0,0.0,0.0,15,Vancouver,42,635902,84,1994,0
15,14309.0,14602.0,14455.0,42,0.0,0.0,0.0,16,Buffalo,42,613301,84,1994,0
16,15013.0,14585.0,14799.0,42,0.0,0.0,0.0,17,New Jersey,42,612588,84,1994,0
17,14933.0,14564.0,14749.0,42,0.0,0.0,0.0,18,Colorado,42,611710,84,1994,0
